sgRNA	Gene	CXCR4minus_Rep1	CXCR4minus_Rep2	CXCR4minus_Rep3	CXCR4plus_Rep1	CXCR4plus_Rpe2	CXCR4plus_Rpe3
NT-703	NonTargetingControlGuideForHuman-703	724.0710538835712	1125.419505542788	671.1639724480146	577.2358124748049	684.2270185499585	592.5599753361371
2bc11695_AAC_2.8	2bc11695_AAC_2	754.9837753958418	814.2791548100905	1171.0580316716557	616.5927996889961	638.4821111931334	852.4369611064225
2bc23415_GAC_3.8	2bc23415_GAC_3	1569.4150921614348	1735.7003036741403	1258.8338621991472	1574.2794885676499	1664.3359910674667	1184.1087561751135
2bc35562_GAC_1.5	2bc35562_GAC_1	393.54272386775375	419.1394807390887	160.5655436478504	230.01972527405107	445.76952275374254	281.1120702106589
2bc28920_AAC_1.8	2bc28920_AAC_1	1061.7330888637587	936.8495960078199	1146.437981645652	1078.38144966884	927.5509938522198	800.8660417512297
2bc25747_AAC_4.7	2bc25747_AAC_4	2846.348280783693	2081.9832284565364	2664.3175875966645	3053.2276081053697	2660.9909939055287	2871.7923719362275
2bc12456_GAC_2.4	2bc12456_GAC_2	1638.3742401503464	1773.414285581134	1457.9351363224816	1819.1674090115064	1643.8967771420769	1352.978237200941
NT-486	NonTargetingControlGuideForHuman-486	1021.3087607323278	990.8491610110153	831.729516095865	792.3873425790504	873.0464233845132	764.4630398534465
2bc13568_GAC_1.7	2bc13568_GAC_1	3374.2424481470853	2661.407132300348	2609.725302756395	3100.455992762399	3605.088018078302	2708.990057893364
2bc9555_GAC_2.8	2bc9555_GAC_2	3262.4810703719527	2867.976896836382	1518.950042908665	2672.776731701521	2795.305828272377	2031.4897447957328
2bc4442_AAC_4.8	2bc4442_AAC_4	920.2479404037505	584.5667195584018	651.8961072102727	1012.7864709785214	815.6219652131796	461.1046907052534
2bc4048_GAC_2.7	2bc4048_GAC_2	1331.6249266824295	540.8527859843864	703.2770811775848	753.0303553648591	675.4673554390771	696.7130085436834
2bc17676_GAC_2.8	2bc17676_GAC_2	719.315250573991	323.9973900191728	711.8405768388035	519.5122312273245	458.42236946946014	523.7987495292133
NT-980	NonTargetingControlGuideForHuman-980	1500.4559441725235	2111.1258508392134	1606.7258734361565	1892.6337851446635	1505.6887591703924	1000.0713576918764
2bc12338_GAC_1.7	2bc12338_GAC_1	1081.945252929474	905.9927017202796	402.4842960772784	1071.3846519418728	938.2572487655192	603.6831148049041
2bc7487_AAC_1.4	2bc7487_AAC_1	1594.3830595367306	1647.4153005736778	1026.5490423885904	1652.9934629960323	1722.7337451400094	1271.0714829309288
NT-504	NonTargetingControlGuideForHuman-504	1866.6527990101915	2579.1220808669077	1830.4471975854947	2048.3125345696867	1936.8588434059993	1487.4671053233064
2bc9555_GAC_2.7	2bc9555_GAC_2	1816.7168642596005	1353.4176688896134	860.6313139524782	2023.823742525301	1923.2327007890726	1234.6684810331458
2bc2336_GAC_8.8	2bc2336_GAC_8	1463.5984685232775	653.9947317053674	723.6153833729792	885.9695121772385	820.4884447192248	949.5116328338443
2bc38046.1_GAC_5.8	2bc38046.1_GAC_5	689.5914798891154	869.1358557657176	807.1094660698614	1331.140767555535	1266.2579674729673	1578.4746100677644
2bc11083_GAC_13.8	2bc11083_GAC_13	628.954987691969	421.7108885963837	841.3634487147361	617.4673994048671	473.99510388880486	935.3549098735953
2bc757_GAC_14.8	2bc757_GAC_14	3406.344120486751	3755.9697435555963	2638.627100613008	3666.322008930882	3371.4970017881315	3215.598500970846
2bc11567_GAC_2.5	2bc11567_GAC_2	1633.6184368407664	1081.7055719687728	2204.02969580616	1516.5559073201694	1449.2375969002678	1627.0119459314753
2bc23636_GAC_2.5	2bc23636_GAC_2	1951.0683077552385	1203.4188772140706	2263.974165434691	1628.5046709516466	1830.7695901742134	1757.4560360651983
2bc16972_GAC_2.6	2bc16972_GAC_2	976.1286292913167	1460.559662943573	1359.4549362184669	1409.8547419839174	1417.1188321603693	1713.9746726872906
2bc35172_GAC_1.8	2bc35172_GAC_1	988.018137565267	888.8499826716461	549.1341592756484	682.1877783793149	556.7252554915736	461.1046907052534
2bc12214_GAC_4.7	2bc12214_GAC_4	1951.0683077552385	2193.4109022726543	3118.182857641255	2960.520038223053	2571.4477709942967	2578.545967759641
