sgRNA	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
2bc3461_GAC_1.8	2bc3461_GAC_1	1175.9/1662.8/1239.6	1250.7/1040.5/1926.3	1239.6	1250.7	0.012865	91610	61069	0.044964	0.51793	0.48207	0.96414	0.99967	True
2bc31894_AAC_2.8	2bc31894_AAC_2	1368.5/1150.3/971.96	1288.3/976.22/1139.6	1150.3	1139.6	-0.013421	39706	56354	0.044907	0.48209	0.51791	0.96418	0.99967	False
2bc25296_GAC_8.4	2bc25296_GAC_8	968.99/658.28/673.3	668.19/583/665.37	673.3	665.37	-0.017086	43829	31692	0.044695	0.48218	0.51782	0.96435	0.99967	False
NT-445	NonTargetingControlGuideForHuman-445	1134.3/1224/1368	1213.1/1675/847.38	1224	1213.1	-0.012919	14398	60244	0.044492	0.48226	0.51774	0.96451	0.99967	False
2bc29467_AAC_6.8	2bc29467_AAC_6	501.74/1375.7/746.09	766.15/737.76/644.13	746.09	737.76	-0.016188	2.2806e+05	35389	0.044361	0.48231	0.51769	0.96462	0.99967	False
2bc4119_AAC_1.5	2bc4119_AAC_1	892.9/683.99/437.81	676.07/1112.5/632	683.99	676.07	-0.016797	52125	32233	0.044253	0.48235	0.51765	0.9647	0.99967	False
2bc21786_GAC_2.6	2bc21786_GAC_2	1685.9/2579.1/1327.3	1252.4/1673.1/1865.7	1685.9	1673.1	-0.01102	4.6319e+05	84991	0.044031	0.48244	0.51756	0.96488	0.99967	False
2bc16826_GAC_9.4	2bc16826_GAC_9	595.66/498.85/457.08	505.52/605.39/294.26	498.85	505.52	0.019111	5558.8	22961	0.043988	0.5173	0.4827	0.96539	0.99967	True
2bc10407_AAC_3.7	2bc10407_AAC_3	756.17/1353.4/736.46	943.69/690.07/764.46	756.17	764.46	0.01571	1.7855e+05	35903	0.043753	0.51743	0.48257	0.96513	0.99967	True
2bc10645_GAC_3.7	2bc10645_GAC_3	1441/1498.3/1076.9	1452.7/1605/1090.1	1441	1452.7	0.01166	67942	71797	0.043672	0.51742	0.48258	0.96517	0.99967	True
2bc23743_GAC_2.5	2bc23743_GAC_2	838.21/693.42/582.32	685.69/525.58/1029.4	693.42	685.69	-0.016164	16654	32711	0.042859	0.48291	0.51709	0.96581	0.99967	False
2bc2566_GAC_3.8	2bc2566_GAC_3	1709.7/1578.8/1567.1	1590.9/1412.3/1596.7	1578.8	1590.9	0.010964	8631.8	79203	0.042826	0.51708	0.48292	0.96584	0.99967	True
NT-890	NonTargetingControlGuideForHuman-890	1071.2/1137.4/912.01	1182.5/1026.8/1081	1071.2	1081	0.013022	14867	52203	0.042552	0.51697	0.48303	0.96606	0.99967	True
2bc15622_GAC_9.7	2bc15622_GAC_9	835.83/1106.6/913.08	835.24/904.19/1336.8	913.08	904.19	-0.014101	21701	43968	0.042409	0.48309	0.51691	0.96617	0.99967	False
2bc13669_AAC_9.6	2bc13669_AAC_9	1153.3/1224.8/1238.5	1033.8/1622.5/1214.4	1224.8	1214.4	-0.012295	2653.9	60290	0.042367	0.4831	0.5169	0.96621	0.99967	False
2bc30831_AAC_3.4	2bc30831_AAC_3	1324.5/1578.8/1909.7	1552.4/1567/1984	1578.8	1567	-0.010851	87067	79203	0.042064	0.48322	0.51678	0.96645	0.99967	False
2bc24844_AAC_3.5	2bc24844_AAC_3	237.79/444/677.59	513.39/321.19/449.98	444	449.98	0.019275	48543	20259	0.04205	0.51633	0.48367	0.96734	0.99967	True
2bc37075_AAC_2.4	2bc37075_AAC_2	1267.4/1488/1247.1	1159.7/1394.7/1256.9	1267.4	1256.9	-0.012	24532	62545	0.042012	0.48324	0.51676	0.96649	0.99967	False
NT-323	NonTargetingControlGuideForHuman-323	964.24/1245.4/1003	1235.8/993.74/964.68	1003	993.74	-0.013374	30135	48638	0.042011	0.48324	0.51676	0.96649	0.99967	False
2bc24562_GAC_5.8	2bc24562_GAC_5	2198.4/2463.4/1811.2	2134/2325.2/2212.5	2198.4	2212.5	0.0092348	1.1008e+05	1.1305e+05	0.042006	0.51675	0.48325	0.96649	0.99967	True
