sgRNA	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
2bc30733_GAC_2.6	2bc30733_GAC_2	2756/1890.8/2156.9	2713/2864.4/2603.8	2156.9	2713	0.33078	2.1484e+05	1.1076e+05	1.6709	0.95263	0.047372	0.094743	0.99837	True
2bc9470_GAC_2.8	2bc9470_GAC_2	770.44/460.28/602.66	926.2/747.49/882.77	602.66	882.77	0.54995	24211	28133	1.6701	0.95254	0.047462	0.094924	0.99837	True
2bc34888_GAC_7.6	2bc34888_GAC_7	1128.3/1969.7/1825.1	1317.1/1226.4/1690.7	1825.1	1317.1	-0.47025	2.5321e+05	92554	1.6696	0.047496	0.9525	0.094992	0.99837	False
2bc16076_GAC_1.7	2bc16076_GAC_1	1208/1817.1/1077.9	1603.1/1813.3/1614.9	1208	1614.9	0.41853	1.9399e+05	59397	1.6696	0.9525	0.047501	0.095002	0.99837	True
2bc23220_AAC_1.8	2bc23220_AAC_1	452.99/358.28/409.98	637.58/523.63/729.07	409.98	637.58	0.63582	2261.2	18596	1.6691	0.95238	0.047615	0.09523	0.99837	True
2bc23789_GAC_4.8	2bc23789_GAC_4	1184.2/311.14/1204.2	781.89/1039.5/630.99	1184.2	781.89	-0.59824	3.8131e+05	58142	1.6684	0.047614	0.95239	0.095228	0.99837	False
2bc28571_GAC_4.6	2bc28571_GAC_4	2698.9/2527.7/1392.6	2084.2/1848.3/1923.3	2527.7	1923.3	-0.39406	6.5883e+05	1.3135e+05	1.6677	0.047688	0.95231	0.095376	0.99837	False
2bc8273_GAC_2.8	2bc8273_GAC_2	1386.3/1547.1/1717	2194.4/2010.8/1314.6	1547.1	2010.8	0.37798	27355	77495	1.6657	0.95211	0.047885	0.09577	0.99837	True
2bc31837.1_GAC_8.6	2bc31837.1_GAC_8	1374.4/1449.4/1157.1	1809.5/1234.1/2062.8	1374.4	1809.5	0.39655	26418	68237	1.6657	0.95211	0.047886	0.095773	0.99837	True
2bc22201_AAC_3.6	2bc22201_AAC_3	923.81/916.28/1088.6	1275.2/1287.7/883.78	923.81	1275.2	0.46458	13611	44524	1.6651	0.95206	0.047944	0.095888	0.99837	True
2bc8489_GAC_3.7	2bc8489_GAC_3	776.38/600.85/818.88	456.54/326.05/859.52	776.38	456.54	-0.76473	16309	36935	1.6645	0.048006	0.95199	0.096012	0.99837	False
2bc1876_GAC_2.8	2bc1876_GAC_2	1381.6/1975.7/1293.1	1817.4/1956.3/1500.6	1381.6	1817.4	0.39534	1.8041e+05	68618	1.6639	0.95193	0.048067	0.096134	0.99837	True
2bc18774.1_GAC_8.6	2bc18774.1_GAC_8	876.26/1110.8/685.08	1158/1628.3/1217.5	876.26	1217.5	0.47401	45791	42065	1.6637	0.95191	0.048086	0.096173	0.99837	True
2bc28252_GAC_1.5	2bc28252_GAC_1	1034.4/878.56/606.94	1220.1/1469.7/665.37	878.56	1220.1	0.47328	49031	42184	1.6627	0.95182	0.048185	0.096369	0.99837	True
NT-511	NonTargetingControlGuideForHuman-511	649.17/1324.3/758.94	1268.2/1074.5/439.87	758.94	1074.5	0.50108	1.6583e+05	36044	1.6622	0.95177	0.048235	0.09647	0.99837	True
2bc18890_AAC_2.5	2bc18890_AAC_2	738.34/1164/669.02	1058.3/1049.2/736.15	738.34	1049.2	0.50638	92992	34994	1.6618	0.95173	0.048274	0.096548	0.99837	True
2bc38119_GAC_2.6	2bc38119_GAC_2	872.69/943.71/922.72	868.48/1273.1/1382.3	922.72	1273.1	0.46392	1471.6	44467	1.6615	0.95169	0.048311	0.096621	0.99837	True
2bc5626.1_AAC_7.8	2bc5626.1_AAC_7	1466/1370.6/1098.3	857.11/937.28/1065.8	1370.6	937.28	-0.54772	41624	68031	1.6612	0.048341	0.95166	0.096681	0.99837	False
2bc2501_GAC_1.5	2bc2501_GAC_1	1225.8/556.28/644.4	933.2/972.32/838.28	644.4	933.2	0.53353	1.729e+05	30233	1.6609	0.95163	0.048369	0.096738	0.99837	True
2bc3443_GAC_1.5	2bc3443_GAC_1	518.38/713.14/724.69	1074.9/1018.1/894.91	713.14	1018.1	0.51298	19031	33712	1.6608	0.95162	0.048382	0.096764	0.99837	True
2bc4895_GAC_2.7	2bc4895_GAC_2	1067.7/693.42/707.56	1011/847.74/1017.3	707.56	1011	0.5143	64943	33428	1.6599	0.95153	0.048474	0.096949	0.99837	True
2bc13696_GAC_2.7	2bc13696_GAC_2	1395.8/1397.1/1276	1046/958.7/954.57	1395.8	958.7	-0.5415	7184.9	69380	1.6596	0.048501	0.9515	0.097001	0.99837	False
NT-972	NonTargetingControlGuideForHuman-972	1938/1760.6/2036	2459.4/2476.1/2031.5	1938	2459.4	0.34357	20541	98722	1.6594	0.95148	0.048517	0.097035	0.99837	True
2bc9259_AAC_4.7	2bc9259_AAC_4	1372/1285.7/1220.3	1214.8/820.49/867.6	1285.7	867.6	-0.56691	5866.7	63515	1.659	0.04856	0.95144	0.097119	0.99837	False
2bc11336_GAC_5.5	2bc11336_GAC_5	439.91/1330.3/1040.5	667.32/1157.2/365.04	1040.5	667.32	-0.64	2.2233e+05	50593	1.659	0.048562	0.95144	0.097123	0.99837	False
2bc27122_AAC_3.5	2bc27122_AAC_3	1926.1/2051.1/2087.4	1428.2/1905.7/1513.8	2051.1	1513.8	-0.43803	8471.9	1.0493e+05	1.6589	0.048567	0.95143	0.097133	0.99837	False
2bc30439_AAC_1.6	2bc30439_AAC_1	533.84/2029.7/757.87	959.44/1072.6/1109.3	757.87	1072.6	0.5005	8.3387e+05	35989	1.6589	0.95143	0.048572	0.097145	0.99837	True
2bc23493_GAC_5.7	2bc23493_GAC_5	311.51/363.43/343.61	549.25/745.54/361	343.61	549.25	0.67512	711.69	15382	1.6581	0.95121	0.048788	0.097577	0.99837	True
2bc16954_GAC_1.6	2bc16954_GAC_1	1732.3/1680.8/1656	1142.2/1635.1/1198.3	1680.8	1198.3	-0.48789	1633.4	84716	1.658	0.048658	0.95134	0.097317	0.99837	False
NT-949	NonTargetingControlGuideForHuman-949	971.37/1320/1246	716.3/875.97/835.25	1246	835.25	-0.57645	40445	61409	1.6575	0.048709	0.95129	0.097417	0.99837	False
NT-78	NonTargetingControlGuideForHuman-78	1480.2/1731.4/1550	962.93/1088.1/1480.4	1550	1088.1	-0.51	18889	77649	1.6574	0.048718	0.95128	0.097435	0.99837	False
2bc40117_GAC_2.5	2bc40117_GAC_2	875.07/679.71/578.04	1002.3/976.22/482.34	679.71	976.22	0.52164	24251	32016	1.6571	0.95125	0.048753	0.097507	0.99837	True
2bc17305_AAC_6.6	2bc17305_AAC_6	1549.2/2417.1/1526.4	2165.5/2010.8/1608.8	1549.2	2010.8	0.37605	3.769e+05	77606	1.6571	0.95125	0.048752	0.097504	0.99837	True
2bc28014_GAC_2.5	2bc28014_GAC_2	986.83/1078.3/899.17	1484.2/1338.3/1348.9	986.83	1348.9	0.45055	8023.7	47796	1.6563	0.95117	0.048831	0.097661	0.99837	True
2bc26135_GAC_2.7	2bc26135_GAC_2	354.31/368.57/551.28	581.61/305.61/746.26	368.57	581.61	0.65669	16793	16585	1.6542	0.95086	0.049143	0.098286	0.99837	True
2bc11942_GAC_5.4	2bc11942_GAC_5	1437.4/1428/1253.5	973.43/986.92/1159.8	1428	986.92	-0.53253	15271	71100	1.6541	0.04905	0.95095	0.0981	0.99837	False
2bc30399_GAC_3.4	2bc30399_GAC_3	517.19/790.28/467.78	498.52/906.14/772.55	517.19	772.55	0.57801	38509	23869	1.6528	0.9508	0.049202	0.098404	0.99837	True
2bc386.0_GAC_14.6	2bc386.0_GAC_14	696.73/773.99/1240.6	1096.7/987.9/1091.1	773.99	1091.1	0.49482	1.1186e+05	36813	1.6526	0.9508	0.049205	0.098409	0.99837	True
2bc32754_GAC_2.8	2bc32754_GAC_2	494.6/853.71/891.67	519.51/415.6/519.75	853.71	519.51	-0.7155	65199	40903	1.6525	0.049212	0.95079	0.098423	0.99837	False
2bc28284_GAC_11.5	2bc28284_GAC_11	467.26/277.71/558.77	132.06/340.65/226.51	467.26	226.51	-1.0414	22151	21402	1.6522	0.04925	0.95075	0.0985	0.99837	False
2bc16303_GAC_2.4	2bc16303_GAC_2	1305.5/1800/754.66	949.82/885.7/773.56	1305.5	885.7	-0.55916	2.7397e+05	64565	1.652	0.049266	0.95073	0.098533	0.99837	False
2bc31768_GAC_1.6	2bc31768_GAC_1	1354.2/1337.1/913.08	1010.2/911/912.1	1337.1	912.1	-0.55138	90055	66249	1.6513	0.049336	0.95066	0.098671	0.99837	False
NT-276	NonTargetingControlGuideForHuman-276	838.21/1262.6/890.6	1135.2/1232.2/1390.4	890.6	1232.2	0.46792	70549	42806	1.651	0.95063	0.049367	0.098735	0.99837	True
2bc1805_AAC_1.7	2bc1805_AAC_1	1391.1/2010.8/1885	1374/1864.8/1360.1	1885	1374	-0.45593	1.2991e+05	95826	1.6509	0.049381	0.95062	0.098762	0.99837	False
2bc9360.0_GAC_4.6	2bc9360.0_GAC_4	1106.9/1330.3/675.45	723.29/838.01/701.77	1106.9	723.29	-0.6132	1.1803e+05	54074	1.6497	0.049501	0.9505	0.099001	0.99837	False
2bc11858_AAC_3.4	2bc11858_AAC_3	702.67/765.42/567.33	438.17/316.32/402.46	702.67	402.46	-0.80249	11127	33180	1.6487	0.049608	0.95039	0.099217	0.99837	False
2bc32184_GAC_3.8	2bc32184_GAC_3	916.68/1740/1125	1618/1378.2/1511.7	1125	1511.7	0.42592	2.1079e+05	55026	1.6485	0.95038	0.049621	0.099242	0.99837	True
2bc31417_GAC_2.6	2bc31417_GAC_2	1168.7/1115.1/1007.3	730.29/722.19/773.56	1115.1	730.29	-0.60999	7252.8	54506	1.6484	0.049634	0.95037	0.099268	0.99837	False
2bc6688_GAC_1.6	2bc6688_GAC_1	620.63/399.43/252.62	620.97/755.28/580.43	399.43	620.97	0.6353	35242	18082	1.6475	0.9502	0.049801	0.099602	0.99837	True
2bc28627_GAC_1.5	2bc28627_GAC_1	460.12/697.71/318.99	222.15/189.79/432.79	460.12	222.15	-1.0472	38183	21051	1.6472	0.049761	0.95024	0.099523	0.99837	False
2bc19017_GAC_2.8	2bc19017_GAC_2	1070.1/868.28/1001.9	621.84/1022.9/639.07	1001.9	639.07	-0.64791	11252	48582	1.6463	0.049854	0.95015	0.099709	0.99837	False
2bc6375_GAC_1.6	2bc6375_GAC_1	542.16/426.85/817.81	995.29/662.81/802.89	542.16	802.89	0.56561	44640	25110	1.6454	0.95004	0.049963	0.099926	0.99837	True
2bc32073.0_GAC_4.4	2bc32073.0_GAC_4	1046.3/1195.7/1354.1	1594.4/1621.5/1270.1	1195.7	1594.4	0.41485	23709	58749	1.6449	0.95	0.049997	0.099994	0.99837	True
2bc5680_GAC_11.6	2bc5680_GAC_11	375.71/744.85/1076.9	1053.9/590.79/1229.6	744.85	1053.9	0.50014	1.2325e+05	35326	1.6443	0.94994	0.050062	0.10012	0.99837	True
2bc8731_GAC_2.6	2bc8731_GAC_2	933.33/1028.6/671.16	1282.2/1313/1115.3	933.33	1282.2	0.45771	38900	45016	1.6441	0.94993	0.050075	0.10015	0.99837	True
2bc14258_GAC_2.4	2bc14258_GAC_2	721.69/431.14/851	958.56/1146.5/1025.4	721.69	1025.4	0.50607	50571	34147	1.6433	0.94984	0.050165	0.10033	0.99837	True
2bc19638_AAC_1.4	2bc19638_AAC_1	329.34/145.71/1006.2	391.82/528.5/1007.1	329.34	528.5	0.68068	2.4594e+05	14696	1.6429	0.94963	0.050373	0.10075	0.99837	True
2bc2277_GAC_2.6	2bc2277_GAC_2	2929.6/2049.4/2935.1	2154.1/2660/2285.3	2929.6	2285.3	-0.35817	3.8736e+05	1.5392e+05	1.6422	0.050275	0.94973	0.10055	0.99837	False
2bc3062_AAC_7.4	2bc3062_AAC_7	2230.5/2782.3/1877.5	2409.5/1674.1/1383.3	2230.5	1674.1	-0.41378	2.1452e+05	1.1482e+05	1.642	0.050294	0.94971	0.10059	0.99837	False
2bc31816_AAC_7.8	2bc31816_AAC_7	1250.8/1388.6/1228.9	1531.4/1838.6/1658.4	1250.8	1658.4	0.40665	9732.3	61662	1.6414	0.94964	0.050361	0.10072	0.99837	True
2bc20116_AAC_1.7	2bc20116_AAC_1	2876.1/1641.4/1936.4	2801.3/2451.7/1497.6	1936.4	2451.7	0.34025	4.8499e+05	98636	1.6408	0.94958	0.050421	0.10084	0.99837	True
2bc16020_GAC_6.8	2bc16020_GAC_6	719.32/891.42/954.83	551.87/457.45/761.43	891.42	551.87	-0.69078	16821	42848	1.6404	0.050458	0.94954	0.10092	0.99837	False
NT-311	NonTargetingControlGuideForHuman-311	664.62/1475.1/1323.1	903.46/702.72/1164.9	1323.1	903.46	-0.54984	2.2833e+05	65500	1.6395	0.050554	0.94945	0.10111	0.99837	False
2bc2797_AAC_6.5	2bc2797_AAC_6	1199.7/2386.3/1633.5	1813.9/2163.6/2103.3	1633.5	2103.3	0.36449	3.7745e+05	82153	1.6391	0.9494	0.050599	0.1012	0.99837	True
2bc2777_GAC_7.7	2bc2777_GAC_7	341.23/383.14/427.1	571.11/650.16/598.63	383.14	598.63	0.64243	1844.7	17291	1.6387	0.94928	0.050724	0.10145	0.99837	True
NT-165	NonTargetingControlGuideForHuman-165	1684.7/1216.3/1114.3	1616.3/1828.8/1461.2	1216.3	1616.3	0.4099	1.1493e+05	59836	1.6352	0.94899	0.051007	0.10201	0.99837	True
NT-503	NonTargetingControlGuideForHuman-503	486.28/905.14/945.2	564.12/409.76/634.02	905.14	564.12	-0.68118	88522	43557	1.6341	0.051123	0.94888	0.10225	0.99837	False
2bc24651_GAC_1.8	2bc24651_GAC_1	332.91/484.28/333.98	533.51/564.51/526.83	333.98	533.51	0.67415	11296	14919	1.6336	0.94867	0.051334	0.10267	0.99837	True
2bc10359_GAC_2.8	2bc10359_GAC_2	612.31/567.42/958.04	616.59/888.62/989.96	612.31	888.62	0.53657	60772	28618	1.6333	0.94879	0.051206	0.10241	0.99837	True
2bc6637.1_AAC_1.8	2bc6637.1_AAC_1	1020.1/925.71/1422.6	1383.6/829.25/1410.6	1020.1	1383.6	0.43933	85456	49531	1.6333	0.9488	0.051204	0.10241	0.99837	True
2bc10703_GAC_4.4	2bc10703_GAC_4	1603.9/960.85/809.25	1312.8/1299.4/1342.9	960.85	1312.8	0.44983	2.1824e+05	46445	1.633	0.94876	0.051236	0.10247	0.99837	True
2bc17696_AAC_1.8	2bc17696_AAC_1	1202/1327.7/1484.7	784.52/909.06/1032.4	1327.7	909.06	-0.54599	20220	65747	1.6327	0.051266	0.94873	0.10253	0.99837	False
2bc24105_GAC_1.7	2bc24105_GAC_1	2141.3/1300.3/2034.9	1508.7/1482.3/1704.9	2034.9	1508.7	-0.43142	2.755e+05	1.0404e+05	1.6314	0.051399	0.9486	0.1028	0.99837	False
2bc28449_GAC_3.7	2bc28449_GAC_3	1885.7/2490.8/1009.4	1381/1848.3/1262	1885.7	1381	-0.4491	5.6702e+05	95860	1.63	0.051546	0.94845	0.10309	0.99837	False
2bc30972_GAC_1.7	2bc30972_GAC_1	335.28/403.71/79.212	103.2/139.18/399.42	335.28	139.18	-1.2624	35128	14982	1.6292	0.05164	0.94836	0.10328	0.99837	False
2bc37360_AAC_16.8	2bc37360_AAC_16	1647.9/1754.6/1013.7	1179/1061.9/1361.1	1647.9	1179	-0.48275	2.0678e+05	82932	1.6283	0.051727	0.94827	0.10345	0.99837	False
2bc32492_AAC_11.5	2bc32492_AAC_11	1011.8/834.85/1015.8	915.71/645.3/651.21	1011.8	651.21	-0.63494	15663	49097	1.6274	0.051827	0.94817	0.10365	0.99837	False
myc-4	myc	1005.9/1518/1099.3	1476.3/1089.1/1811	1099.3	1476.3	0.42504	92003	53676	1.6272	0.94815	0.05185	0.1037	0.99837	True
2bc622_GAC_5.4	2bc622_GAC_5	549.3/1442.6/1127.2	745.16/644.32/976.81	1127.2	745.16	-0.59643	2.167e+05	55138	1.6269	0.051883	0.94812	0.10377	0.99837	False
2bc25904_AAC_1.6	2bc25904_AAC_1	1279.3/1630.3/1675.2	1165/855.53/1267	1630.3	1165	-0.48447	62598	81979	1.6251	0.052068	0.94793	0.10414	0.99837	False
2bc1233_GAC_2.4	2bc1233_GAC_2	728.83/724.28/617.64	1025/1107.6/464.14	724.28	1025	0.50046	5696.1	34278	1.6244	0.94785	0.052145	0.10429	0.99837	True
2bc7721_GAC_3.7	2bc7721_GAC_3	879.82/733.71/1010.5	697.06/546.02/482.34	879.82	546.02	-0.68726	19212	42249	1.6241	0.05218	0.94782	0.10436	0.99837	False
2bc15927_GAC_4.8	2bc15927_GAC_4	1174.7/1015.7/931.28	641.08/787.4/655.25	1015.7	655.25	-0.63158	16201	49300	1.6234	0.052251	0.94775	0.1045	0.99837	False
2bc35400_GAC_5.5	2bc35400_GAC_5	724.07/583.71/694.71	415.43/401/367.06	694.71	401	-0.79131	6591.9	32777	1.6229	0.052305	0.94769	0.10461	0.99837	False
NT-312	NonTargetingControlGuideForHuman-312	779.95/1269.4/1322	863.23/1210.8/809.97	1269.4	863.23	-0.55582	1.2117e+05	62651	1.6228	0.052316	0.94768	0.10463	0.99837	False
2bc3203_GAC_8.8	2bc3203_GAC_8	935.7/1020/1370.2	491.53/658.92/864.57	1020	658.92	-0.62961	64861	49524	1.6225	0.052346	0.94765	0.10469	0.99837	False
2bc609_GAC_5.5	2bc609_GAC_5	2685.8/1686.8/1726.6	2469/2205.5/1661.4	1726.6	2205.5	0.35297	4.6085e+05	87198	1.6217	0.94757	0.052435	0.10487	0.99837	True
2bc26902.1_GAC_10.4	2bc26902.1_GAC_10	423.27/375.43/447.44	668.19/291.99/648.18	423.27	648.18	0.61364	1436.6	19245	1.6213	0.94746	0.05254	0.10508	0.99837	True
2bc13175_GAC_7.5	2bc13175_GAC_7	1777.5/1668/1346.6	1455.3/1028.8/1198.3	1668	1198.3	-0.47682	57636	84019	1.6205	0.052562	0.94744	0.10512	0.99837	False
2bc23452_GAC_3.8	2bc23452_GAC_3	414.94/588.85/948.41	857.11/938.26/687.61	588.85	857.11	0.5408	79762	27441	1.6194	0.94731	0.052694	0.10539	0.99837	True
2bc22661_GAC_1.5	2bc22661_GAC_1	1336.4/600/1317.7	904.34/755.28/1276.1	1317.7	904.34	-0.5426	2.5773e+05	65216	1.6187	0.052756	0.94724	0.10551	0.99837	False
NT-775	NonTargetingControlGuideForHuman-775	1305.5/587.14/614.43	888.59/859.42/1141.6	614.43	888.59	0.53155	2.3914e+05	28724	1.6176	0.94712	0.052877	0.10575	0.99837	True
2bc25053_AAC_1.8	2bc25053_AAC_1	2254.3/2206.3/1438.7	2072.8/1659.5/1661.4	2206.3	1661.4	-0.409	2.9576e+05	1.1348e+05	1.6175	0.05289	0.94711	0.10578	0.99837	False
2bc27908_GAC_3.4	2bc27908_GAC_3	636.09/548.57/615.5	588.61/903.22/889.85	615.5	889.85	0.53108	2452	28778	1.6172	0.94708	0.052921	0.10584	0.99837	True
2bc3801_GAC_1.4	2bc3801_GAC_1	1813.2/1146/958.04	1611.9/1529/855.47	1146	1529	0.41572	2.4021e+05	56128	1.6169	0.94705	0.052954	0.10591	0.99837	True
2bc10872_GAC_6.5	2bc10872_GAC_6	898.85/643.71/625.14	924.45/1009.3/704.8	643.71	924.45	0.52151	32720	30198	1.6156	0.9469	0.053101	0.1062	0.99837	True
2bc21942_GAC_2.5	2bc21942_GAC_2	1464.8/843.42/823.17	1325/1097.9/1167.9	843.42	1167.9	0.46915	1.9325e+05	40373	1.615	0.94685	0.053154	0.10631	0.99837	True
2bc10646_GAC_1.8	2bc10646_GAC_1	988.02/386.57/1122.9	1127.4/1341.2/1373.2	988.02	1341.2	0.44053	1.8997e+05	47858	1.6145	0.94679	0.053215	0.10643	0.99837	True
2bc31944_AAC_2.8	2bc31944_AAC_2	1319.7/1292.6/1461.1	1848/1393.8/1732.2	1319.7	1732.2	0.39208	10368	65323	1.6137	0.94671	0.053295	0.10659	0.99837	True
2bc27908_GAC_3.5	2bc27908_GAC_3	1596.8/957.42/1072.6	1441.3/1429.8/1894	1072.6	1441.3	0.42598	1.4401e+05	52273	1.6129	0.94662	0.053383	0.10677	0.99837	True
2bc3915_GAC_1.6	2bc3915_GAC_1	626.58/668.57/1062.9	943.69/988.87/954.57	668.57	954.57	0.51313	78648	31453	1.6126	0.94658	0.053415	0.10683	0.99837	True
NT-331	NonTargetingControlGuideForHuman-331	1343.5/1811.1/1369.1	1789.4/1455.1/1996.1	1369.1	1789.4	0.38604	98026	67953	1.6125	0.94657	0.053427	0.10685	0.99837	True
2bc17190_GAC_4.6	2bc17190_GAC_4	369.76/380.57/922.72	289.49/591.76/704.8	380.57	591.76	0.63552	1.4702e+05	17166	1.6119	0.94641	0.053588	0.10718	0.99837	True
2bc24142_AAC_2.8	2bc24142_AAC_2	710.99/282/1297.4	901.71/1006.4/1265	710.99	1006.4	0.50069	2.6394e+05	33603	1.6114	0.94646	0.053544	0.10709	0.99837	True
2bc20527_GAC_9.7	2bc20527_GAC_9	537.41/751.71/533.08	791.51/722.19/1152.8	537.41	791.51	0.55774	22972	24873	1.6112	0.94641	0.053586	0.10717	0.99837	True
2bc21859_GAC_3.5	2bc21859_GAC_3	261.57/379.71/669.02	316.61/607.34/590.54	379.71	590.54	0.63577	48829	17125	1.6111	0.94632	0.053683	0.10737	0.99837	True
2bc3998_AAC_7.4	2bc3998_AAC_7	1350.6/1205.1/1396.9	1937.2/1767.5/1455.1	1350.6	1767.5	0.38781	11658	66969	1.6108	0.94639	0.053609	0.10722	0.99837	True
NT-575	NonTargetingControlGuideForHuman-575	779.95/1222.3/1121.8	1499.1/874.02/1599.7	1121.8	1499.1	0.4179	63482	54857	1.6107	0.94638	0.053625	0.10725	0.99837	True
2bc18159_GAC_11.5	2bc18159_GAC_11	1129.5/1434.8/1294.2	886.84/579.11/1063.8	1294.2	886.84	-0.54475	23452	63964	1.6105	0.053644	0.94636	0.10729	0.99837	False
2bc28262.0_AAC_1.4	2bc28262.0_AAC_1	701.48/1083.4/1129.3	661.2/713.43/800.87	1083.4	713.43	-0.60207	73992	52841	1.6096	0.053746	0.94625	0.10749	0.99837	False
2bc24715_GAC_4.6	2bc24715_GAC_4	1016.6/1375.7/1201	1047.8/560.62/809.97	1201	809.97	-0.56776	32271	59030	1.6096	0.053746	0.94625	0.10749	0.99837	False
2bc26529_GAC_1.6	2bc26529_GAC_1	749.04/566.57/1064	425.93/445.77/715.93	749.04	445.77	-0.74743	66253	35539	1.609	0.053807	0.94619	0.10761	0.99837	False
2bc23267_AAC_4.6	2bc23267_AAC_4	147.43/334.28/652.97	530.88/463.29/661.32	334.28	530.88	0.66573	68237	14933	1.6088	0.946	0.053999	0.108	0.99837	True
2bc24881_GAC_2.5	2bc24881_GAC_2	891.71/484.28/1294.2	344.59/558.67/906.03	891.71	558.67	-0.67362	1.6398e+05	42863	1.6087	0.053841	0.94616	0.10768	0.99837	False
2bc8086_GAC_1.7	2bc8086_GAC_1	766.87/487.71/879.9	814.25/1546.6/1073.9	766.87	1073.9	0.48525	45353	36449	1.6081	0.94609	0.053907	0.10781	0.99837	True
2bc2297_GAC_1.7	2bc2297_GAC_1	2089/1386.8/1449.4	2094.7/1881.4/1362.1	1449.4	1881.4	0.37614	2.0651e+05	72244	1.6073	0.946	0.053997	0.10799	0.99837	True
2bc35172_GAC_1.8	2bc35172_GAC_1	988.02/888.85/549.13	682.19/556.73/461.1	888.85	556.73	-0.67401	62621	42715	1.6071	0.054021	0.94598	0.10804	0.99837	False
2bc39903_GAC_1.5	2bc39903_GAC_1	1326.9/739.71/1612.1	1738.7/1970/1546.1	1326.9	1738.7	0.38973	2.1305e+05	65703	1.6067	0.94594	0.054062	0.10812	0.99837	True
2bc21851_GAC_10.4	2bc21851_GAC_10	393.54/653.99/768.57	372.58/360.12/985.91	653.99	372.58	-0.81007	40482	30717	1.6065	0.054081	0.94592	0.10816	0.99837	False
2bc5766_AAC_2.5	2bc5766_AAC_2	1023.7/696.85/700.07	824.75/1200.1/991.98	700.07	991.98	0.50222	52370	33048	1.6058	0.94584	0.054165	0.10833	0.99837	True
2bc616_AAC_2.6	2bc616_AAC_2	1951.1/923.14/1136.8	1548.9/1515.4/1251.9	1136.8	1515.4	0.41442	3.5434e+05	55645	1.6051	0.94576	0.054241	0.10848	0.99837	True
2bc26959_GAC_5.8	2bc26959_GAC_5	2230.5/1836.8/2413.8	1528.8/1982.6/1686.7	2230.5	1686.7	-0.40296	94283	1.1482e+05	1.6048	0.054267	0.94573	0.10853	0.99837	False
2bc11337_GAC_2.7	2bc11337_GAC_2	688.4/961.71/1086.5	615.72/758.2/452	961.71	615.72	-0.64248	45133	46489	1.6047	0.054279	0.94572	0.10856	0.99837	False
2bc4694_GAC_1.6	2bc4694_GAC_1	1449.3/673.71/1395.8	1144/973.3/944.46	1395.8	973.3	-0.51974	2.6217e+05	69381	1.6042	0.054334	0.94567	0.10867	0.99837	False
2bc1756_GAC_1.8	2bc1756_GAC_1	621.82/438/1006.2	421.56/895.43/1050.6	621.82	895.43	0.52538	90773	29096	1.6041	0.94564	0.054358	0.10872	0.99837	True
2bc21134_GAC_1.8	2bc21134_GAC_1	858.42/1308.8/1016.9	948.07/1633.2/1373.2	1016.9	1373.2	0.43298	55172	49363	1.6036	0.9456	0.054401	0.1088	0.99837	True
NT-761	NonTargetingControlGuideForHuman-761	1154.5/989.99/1303.8	1590/1535.9/1264	1154.5	1535.9	0.41151	24675	56575	1.6035	0.94558	0.054417	0.10883	0.99837	True
NT-836	NonTargetingControlGuideForHuman-836	1121.2/418.28/1614.2	1257.7/1737.3/1496.6	1121.2	1496.6	0.41632	3.6858e+05	54823	1.6032	0.94556	0.054441	0.10888	0.99837	True
2bc26244_AAC_7.8	2bc26244_AAC_7	753.79/629.14/655.11	772.27/936.31/952.55	655.11	936.31	0.5146	5206.8	30773	1.603	0.94553	0.054471	0.10894	0.99837	True
2bc32007_GAC_6.4	2bc32007_GAC_6	1254.3/1157.1/1494.3	1653/1607.9/1896	1254.3	1653	0.39787	33522	61851	1.6029	0.94553	0.054474	0.10895	0.99837	True
2bc16826_AAC_6.6	2bc16826_AAC_6	277.03/546.85/337.19	442.55/626.8/533.91	337.19	533.91	0.66147	23789	15073	1.6023	0.9453	0.054704	0.10941	0.99837	True
NT-657	NonTargetingControlGuideForHuman-657	1173.5/1252.3/1466.5	1650.4/1861.9/1092.1	1252.3	1650.4	0.39796	26049	61742	1.6021	0.94544	0.054564	0.10913	0.99837	True
2bc1125_GAC_4.4	2bc1125_GAC_4	2323.2/2608.3/1290.9	1832.3/1768.5/1337.8	2323.2	1768.5	-0.39342	5.7341e+05	1.1996e+05	1.6016	0.054619	0.94538	0.10924	0.99837	False
NT-251	NonTargetingControlGuideForHuman-251	1190.1/1152.8/1385.1	1576.9/1340.2/1740.3	1190.1	1576.9	0.40567	19709	58455	1.5997	0.94517	0.054835	0.10967	0.99837	True
NT-939	NonTargetingControlGuideForHuman-939	1199.7/887.99/682.94	1218.3/1241/900.97	887.99	1218.3	0.45583	69589	42671	1.5991	0.9451	0.0549	0.1098	0.99837	True
2bc38673_AAC_2.5	2bc38673_AAC_2	1338.8/1644.8/1595	898.21/1158.2/1142.6	1595	1142.6	-0.48077	34062	80072	1.5984	0.054976	0.94502	0.10995	0.99837	False
2bc24422_GAC_2.8	2bc24422_GAC_2	870.31/450.85/1445.1	1196.5/996.66/1934.4	870.31	1196.5	0.45871	2.5316e+05	41758	1.596	0.94475	0.055245	0.11049	0.99837	True
